nr,avg_time_in_cluster,percent_time_in_cluster,nr_nodes,nr_instances,is_extreme,prob_to_extreme,avg_time_to_extreme,path_to_extreme
76,21.19999999999999,0.7067137809187275,63,1,0,0.005651804100635689,44.400000000000034,3.0
77,21.19999999999999,0.7067137809187275,68,1,0,0.005707762557077625,23.200000000000045,2.0
78,22.399999999999636,0.746716447763172,57,1,1,0.9931506849315068,0.0,1.0
79,18.799999999999727,0.6267084472298062,54,1,0,0.991195663898177,22.399999999999636,2.0
80,21.59999999999991,0.7200480032002102,58,1,0,0.0026015634223049266,41.19999999999936,3.0
81,28.40000000000009,0.9467297819854688,75,1,1,0.6666666666666666,0.0,1.0
82,14.599999999999909,0.9733982265484306,88,2,0,0.2222222222222222,28.40000000000009,2.0
83,20.40000000000009,0.68004533635576,60,1,0,0.0,89.19999999999982,5.0
84,19.59999999999991,0.6533768917927831,66,1,0,0.0,69.59999999999991,4.0
85,20.59999999999991,0.6867124474964967,68,1,0,0.0012626262626262625,20.600000000000136,2.0
86,10.200000000000045,0.34002266817788,34,1,0,5.921210921233751e-23,291.30000000000007,17.0
87,23.59999999999991,0.7867191146076374,72,1,0,0.0011724386724386723,41.200000000000045,3.0
88,22.59999999999991,0.7533835589039238,57,1,0,8.374561945990516e-05,64.79999999999995,4.0
89,23.800000000000182,0.7933862257483891,56,1,0,1.4892248650472336e-05,149.60000000000014,5.0
90,14.400000000000091,0.9600640042669571,89,2,0,0.9542857142857144,25.19999999999999,2.0
91,13.299999999999999,0.8867257817187812,73,2,1,0.015625,0.0,1.0
92,18.6,0.6200413360890726,73,1,0,0.0,38.699999999999996,3.0
93,20.0,1.3334222281485433,77,2,0,0.02816326530612245,7.0,2.0
94,7.0,0.23334888992599506,16,1,1,0.9857142857142858,0.0,1.0
95,17.899999999999977,1.1934128941929447,97,2,0,0.028022448979591833,27.0,3.0
96,9.0,0.3000200013334222,35,1,0,0.00023352040816326529,44.89999999999998,4.0
97,16.800000000000182,0.5600373358223941,60,1,0,0.0,2999.8,270.0
98,15.800000000000182,0.5267017801186806,32,1,0,0.0,2999.8,270.0
99,26.600000000000364,0.8867257817187933,85,1,0,0.0,2999.8,270.0
100,17.200000000000273,0.5733715581038826,48,1,0,0.0,2999.8,270.0
101,23.199999999999818,0.7733848923261489,47,1,0,0.0,2999.8,270.0
102,28.40000000000009,0.9467297819854688,83,1,0,0.038124156545209176,38.59999999999991,2.0
103,10.599999999999966,0.3533568904593628,40,1,0,0.9006867916058805,79.20000000000005,4.0
104,9.799999999999983,0.3266884458963925,34,1,0,0.013443086441878813,89.80000000000001,5.0
105,16.40000000000009,0.5467031135409057,47,1,0,3.985360465890208e-31,355.30000000000007,15.0
106,30.799999999999983,1.0267351156743776,90,1,1,0.0078125,0.0,1.0
107,31.799999999999997,1.0600706713780919,81,1,0,7.233796296296296e-05,30.799999999999983,2.0
108,17.600000000000136,0.5867057803853636,41,1,0,9.275882511160359e-29,260.69999999999993,11.0
109,29.59999999999991,0.986732448829919,64,1,0,0.0,2999.8,270.0
110,4.399999999999977,0.14667644509633898,20,1,1,0.001366120218579235,0.0,1.0
111,25.200000000000045,0.8400560037335837,67,1,1,0.9846153846153847,0.0,1.0
112,33.0,1.100073338222548,82,1,0,0.0025246548323471403,25.200000000000045,2.0
113,22.600000000000023,0.7533835589039276,62,1,1,0.9973544973544974,0.0,1.0
114,17.199999999999932,0.5733715581038713,39,1,0,0.003957755941882926,22.600000000000023,2.0
115,22.199999999999932,0.7400493366224392,57,1,0,9.514788069566626e-06,78.60000000000002,4.0
116,20.399999999999977,0.6800453363557563,56,1,0,9.56308648616341e-06,58.200000000000045,3.0
117,18.0,0.6000400026668444,58,1,0,2.127825775205874e-05,39.799999999999955,3.0
118,23.399999999999977,0.780052003466897,73,1,0,2.110665889921956e-05,57.799999999999955,4.0
119,17.200000000000273,0.5733715581038826,56,1,1,0.9951923076923076,0.0,1.0
120,25.0,0.8333888925928394,49,1,0,7.673998348728025e-05,61.79999999999984,4.0
121,17.200000000000045,0.5733715581038751,58,1,0,7.56032819543877e-05,130.79999999999984,6.0
122,18.399999999999977,0.613374224948329,65,1,0,7.71462060759058e-07,147.9999999999999,7.0
123,11.799999999999955,0.7867191146076374,47,2,0,0.0,2999.8,270.0
124,9.400000000000091,0.31335422361491067,27,1,0,0.0,2999.8,270.0
125,8.799999999999727,0.29335289019267036,31,1,0,2.11495010816243e-05,83.19999999999936,5.0
126,20.40000000000009,0.68004533635576,50,1,0,0.0025802391319581647,62.79999999999927,4.0
127,4.800000000000011,0.16001066737782557,24,1,1,0.16666666666666666,0.0,1.0
128,11.0,0.36669111274084937,35,1,0,1.8023394488238235e-05,90.99999999999997,4.0
129,21.200000000000045,0.7067137809187294,45,1,0,2.307713488820235e-29,297.9,13.0
130,19.59999999999991,0.6533768917927831,57,1,0,9.23085395528094e-29,278.30000000000007,12.0
